99EPAD_933  Body Imaging
RID18402    sympathetic nervous system
RID1841     fracture fixation
RID1842     osteotomy
RID1844     arthrodesis
RID1845     arthroplasty
RID1846     unicompartmental arthroplasty
RID1847     hemiarthroplasty
RID1848     bone grafting
RID1849     radiofrequency ablation
RID1850     upper extremity
RID1854     clavicle
RID1856     conoid tubercle
RID18593    nerve root
RID1860     scapula
RID1862     acromion
RID1863     coracoid process
RID1864     glenoid cavity
RID1869     spinoglenoid notch
RID187      gallbladder
RID1884     sternoclavicular joint
RID189      body of gallbladder
RID19       Intermediate Perceptual Difficulty
RID190      neck of gallbladder
RID1905     glenohumeral joint
RID1909     glenoid labrum
RID191      bile duct
RID1911     biceps anchor
RID1914     coracohumeral ligament
RID1916     glenohumeral ligament
RID1917     inferior glenohumeral ligament
RID1922     superior glenohumeral ligament
RID193      left hepatic duct
RID1931     sublabral recess of glenohumeral joint
RID1936     deltoid muscle
RID1937     trapezius muscle
RID1938     rotator cuff muscle
RID1939     infraspinatus muscle
RID1940     subscapularis muscle
RID1941     supraspinatus muscle
RID1942     teres minor muscle
RID1951     subscapularis tendon
RID1953     supraspinatus tendon
RID1958     subacromial-subdeltoid bursa
RID19602    first lumbar nerve
RID1963     quadrilateral space
RID19632    inferior occipitofrontal fasciculus
RID1965     rotator interval
RID1966     supraspinatus outlet
RID19664    field H2
RID1968     arm
RID1971     humerus
RID198      extrahepatic duct
RID19831    sympathetic ganglion
RID19834    superior cervical ganglion
RID199      common bile duct
RID19940    enteric ganglion
RID1996     biceps brachii muscle
RID1999     triceps brachii muscle
RID20       Advanced Perceptual Difficulty
RID200      common hepatic duct
RID2003     long head of triceps muscle
RID20048    spinal epidural space
RID201      cystic duct
RID2010     elbow
RID2011     elbow joint
RID2016     radiocapitellar joint
RID20379    gray matter of anterior cingulate gyrus
RID204      urinary tract
RID20407    frontal pole
RID205      kidney
RID206      upper pole of kidney
RID2066     lacertus fibrosis
RID2068     common extensor tendon
RID207      lower pole of kidney
RID20809    nucleus raphe magnus
RID2082     olecranon bursa
RID21016    globus pallidus
RID2104     cubital tunnel retinaculum
RID2107     forearm
RID2109     radius
RID211      cortex of kidney
RID2110     radial tuberosity
RID2119     ulna
RID2120     olecranon process
RID2126     sublime tubercle
RID2128     radial notch
RID213      medulla of kidney
RID2132     ulnar styloid
RID2142     brachioradialis muscle
RID2144     extensor carpi radialis brevis muscle
RID2145     extensor carpi radialis longus muscle
RID2146     extensor carpi ulnaris muscle
RID2148     extensor digiti minimi muscle
RID2149     anconeus muscle
RID2160     pronator teres muscle
RID2161     flexor carpi radialis muscle
RID2162     palmaris longus muscle
RID2163     flexor carpi ulnaris muscle
RID2164     flexor digitorum superficialis muscle
RID2169     flexor pollicis longus muscle
RID2171     pronator quadratus muscle
RID2174     interosseous membrane
RID2177     wrist
RID2181     scaphoid
RID2187     lunate
RID2189     triquetrum
RID2191     pisiform
RID2193     trapezium
RID2195     trapezoid
RID2197     capitate
RID2198     hamate
RID22       Basic Analytical Difficulty
RID2200     hook of hamate
RID2202     wrist joint
RID2211     radioscaphoid joint
RID223      renal collecting system
RID2234     meniscal homologue
RID2241     scapholunate joint
RID2242     lunotriquetral joint
RID2245     midcarpal joint
RID2259     scapholunate ligament
RID2260     lunotriquetral ligament
RID22642    lumbosacral trunk
RID22696    optic tract
RID22795    intercostal nerve
RID228      renal pelvis
RID229      ureter
RID23       Intermediate Analytical Difficulty
RID230      ureteropelvic junction
RID2310     anatomical snuffbox
RID2314     carpal tunnel
RID2316     Guyon canal
RID2318     hand
RID2320     metacarpal bone
RID2331     carpometacarpal joint
RID2332     metacarpophalangeal joint
RID234      ureterovesical junction
RID2340     palmar aponeurosis
RID2345     thenar muscle
RID2348     flexor pollicis brevis muscle
RID237      urinary bladder
RID2390     palmaris longus tendon
RID2391     finger
RID2392     thumb
RID24       Advanced Analytical Difficulty
RID245      male urethra
RID2467     trunk
RID2468     chest wall
RID2470     axilla
RID2471     rib
RID2473     sternum
RID2476     manubrium
RID2477     xiphoid process
RID2478     costovertebral joint
RID2484     umbilicus
RID2485     inguinal canal
RID2486     pectoral muscle
RID2493     pectoralis major muscle
RID25       representativeness
RID250      prostatic urethra
RID2504     teres major muscle
RID2507     pelvis
RID2509     sacrum
RID2514     sacral promontory
RID2515     sacral ala
RID2516     sacral canal
RID2524     coccyx
RID2527     pelvic bone
RID2531     ilium
RID2535     iliac tuberosity
RID2536     iliac crest
RID2541     iliac fossa
RID2545     ischium
RID2547     ischial spine
RID2550     ischial tuberosity
RID2553     pubis
RID2555     superior pubic ramus
RID2557     pubic tubercle
RID256      utricle
RID2564     acetabulum
RID2568     acetabular fossa
RID2569     obturator foramen
RID257      Cowpers gland
RID25727    c1 segment
RID25728    c2 segment
RID25729    c3 segment
RID25730    c4 segment
RID25731    c5 segment
RID25732    c6 segment
RID25733    c7 segment
RID25738    t2 segment
RID25739    t3 segment
RID25740    t4 segment
RID25743    t7 segment
RID2575     ischiopubic synchondrosis
RID25758    s1 segment
RID25759    s2 segment
RID25760    s3 segment
RID25761    s4 segment
RID25762    s5 segment
RID2577     sacroiliac joint
RID2593     sacrococcygeal disc
RID2594     symphysis pubis
RID26       Typical
RID2602     sacrotuberous ligament
RID2606     sacrospinous ligament
RID2616     pelvic inlet
RID2621     lesser sciatic notch
RID2622     lesser sciatic foramen
RID2624     psoas muscle
RID2625     psoas major muscle
RID2626     psoas minor muscle
RID2627     iliacus muscle
RID2629     gluteus maximus muscle
RID263      navicular fossa of male urethra
RID2630     gluteus medius muscle
RID2631     gluteus minimus muscle
RID2632     piriformis muscle
RID2633     obturator internus muscle
RID2636     obturator externus muscle
RID2638     lower extremity
RID2639     hip
RID264      female urethra
RID2640     hip joint
RID2644     acetabular labrum
RID2649     transverse acetabular ligament
RID2658     greater trochanteric bursa
RID2660     thigh
RID2662     femur
RID2670     trochanter of femur
RID2673     lesser trochanter of femur
RID2677     linea aspera
RID2684     adductor tubercle
RID2686     lateral condyle of femur
RID2688     medial condyle of femur
RID2691     anterior compartment of thigh
RID2696     sartorius muscle
RID2697     quadriceps muscle
RID2698     rectus femoris muscle
RID27       Atypical
RID2700     vastus medialis muscle
RID2702     vastus intermedius muscle
RID2703     tensor fascia lata muscle
RID2708     adductor longus muscle
RID2709     gracilis muscle
RID2710     adductor brevis muscle
RID2711     adductor magnus muscle
RID2713     hamstring muscle
RID2714     biceps femoris muscle
RID2717     semitendinosus muscle
RID2718     semimembranosus muscle
RID272      vulva
RID2723     iliotibial tract
RID273      clitoris
RID2743     knee
RID2745     fabella
RID2746     patella
RID2756     medial compartment of knee
RID2759     patellofemoral joint
RID2763     lateral meniscus
RID2768     popliteus hiatus
RID2771     discoid lateral meniscus
RID2772     medial meniscus
RID2781     anterior cruciate ligament
RID2784     posterior cruciate ligament
RID2795     posterolateral corner of knee
RID2797     lateral collateral ligament
RID28       Mimics another entity
RID2815     medial patellar retinaculum
RID2821     suprapatellar recess
RID2825     popliteus recess
RID2833     suprapatellar plica
RID2836     proximal tibiofibular joint
RID28441    hippocampus proper
RID28453    abnormal
RID28471    almost certainly not
RID28472    present
RID28473    absent
RID28474    yes
RID2848     quadriceps tendon
RID28481    report section
RID28482    imaging technique section
RID28483    comparison section
RID28487    report
RID28489    cerebral blood volume map
RID2849     patellar ligament
RID28490    time-to-peak map
RID28492    count
RID28493    atelectasis
RID28494    rounded atelectasis
RID28495    bleb
RID28496    bronchiectasis
RID28497    bronchiolectasis
RID28498    bronchocele
RID28499    bronchiolitis
RID28500    bronchocentric
RID28501    broncholith
RID28502    bulla
RID28503    bullous emphysema
RID28504    centrilobular emphysema
RID28505    centrilobular
RID28506    collapse
RID28507    mycetoma
RID28508    chronic fibrosing interstitial pneumonia
RID28509    thickening
RID28510    interlobular septal thickening
RID28511    interstitial emphysema
RID28512    interstitium
RID28513    linear atelectasis
RID28515    lymphoid interstitial pneumonia
RID28517    oligemia
RID28518    organizing pneumonia
RID28519    panacinar emphysema
RID2852     conjoined tendon
RID28520    paraseptal emphysema
RID28522    pneumatocele
RID28523    pneumomediastinum
RID28524    pneumopericardium
RID28525    tension pneumothorax
RID28528    traction bronchiectasis
RID28529    traction bronchiolectasis
RID2853     semimembranosus tendon
RID28530    opacity
RID28531    ground-glass opacity
RID28533    parenchymal opacification
RID28537    air trapping
RID28538    airspace
RID28545    ankle
RID28548    cholangiography
RID28549    enterography
RID28550    portography
RID28551    urography
RID2857     prepatellar bursa
RID28579    paranasal sinuses
RID28593    sacroiliac joints
RID28599    zygomatic arch
RID28604    interoperative
RID28625    posteroanterior projection
RID28629    submentovertex projection
RID2863     medial collateral ligament bursa
RID28632    tangential projection
RID28643    axillary tail
RID28645    diamox
RID28646    direct coronal
RID28651    magnification
RID28652    nipple markers
RID28653    orthogonal
RID28656    secretin
RID28657    spot compression
RID28658    under stress
RID28659    triphase
RID28660    acquisition
RID28662    attenuation
RID28664    localizer
RID28665    reconstruction
RID28667    patient state
RID28668    volume
RID28669    slice thickness
RID28670    slab
RID28674    cervical spine region
RID2868     popliteal fossa
RID28683    flow-encoded
RID28684    fluid-attenuated
RID28688    metabolite map
RID2869     leg
RID28690    multiecho
RID28691    non-parallel
RID28692    parallel
RID28694    post-contrast
RID28695    real-time
RID28696    motion
RID28698    phase
RID28699    short tau inversion recovery
RID287      navicular fossa of female urethra
RID28700    velocity
RID28702    temperature
RID28703    time-of-flight
RID28706    densitometry
RID28708    localization
RID2871     fibula
RID28712    hip joints
RID28734    lumbosacral junction
RID28739    thoracolumbar junction
RID28742    superior mediastinum
RID28744    parotid gland
RID28749    breast
RID28750    anatomical conduit
RID28753    biliary system
RID28770    intrathecal contrast
RID28783    anterolateral projection
RID28785    anteroposterior oblique projection
RID28789    fiducial
RID28790    implant
RID28791    shunt tubing
RID28792    anosmia
RID28794    acute abdomen
RID28795    congenital malformation
RID28796    constrictive pericarditis
RID28797    cord compression
RID28799    interstitial lung disease
RID28800    lupus
RID28801    multiple sclerosis
RID28802    myelopathy
RID28803    pain
RID28804    pulsatile tinnitus
RID28805    radiculopathy
RID28806    seizure
RID28808    calcium score
RID28809    CSF flow
RID28811    donor
RID28812    function
RID28813    leg length
RID28815    preoperative
RID28816    quality control
RID28817    screening
RID28819    skeletal survey
RID28820    ventriculostomy
RID28821    viability
RID28823    prosthesis
RID28824    optic neuritis
RID28825    morphology
RID28826    tagging
RID28827    chiari malformation
RID28829    foot
RID2883     lateral malleolus
RID28830    lumbar intervertebral disk
RID28831    modulus
RID28832    proton-density
RID28833    pre-contrast
RID28836    idiopathic pulmonary fibrosis
RID28837    intralobular lines
RID28840    tomography
RID28842    injection
RID2885     tibia
RID2886     lateral tibial plateau
RID28903    kernel
RID28904    bone kernel
RID28910    lobar artery
RID28914    MR acquisition
RID28915    volume acquisition
RID28917    imaging acquisition
RID28918    spectroscopy acquisition
RID28922    lymphatic chain
RID28948    perfusion acquisition
RID2895     tibial tuberosity
RID28953    cardiac acquisition
RID2897     gerdy tubercle
RID28998    wire tip
RID28999    applicator
RID290      ovary
RID29000    needle tip
RID29004    CT device
RID29006    needle sheath
RID29007    filter
RID29016    flow status
RID29019    transducer
RID29023    imaging sign
RID29024    laser tip
RID29026    injector
RID29028    current delivery
RID29029    bowel contrast
RID29030    dilator
RID29031    voxel geometry
RID29032    attenuation correction method
RID29033    medical device
RID29037    imaging device
RID2904     medial malleolus
RID29040    French
RID29041    disease progression
RID29048    horizontal long axis
RID29049    vertical long axis
RID29052    synchondrosis
RID29053    syndesmosis
RID29054    MR device
RID29059    Blount disease
RID29062    Burns disease
RID29063    Caffey disease
RID2909     tibial plafond
RID29093    head of humerus
RID29095    apophysis
RID29104    apophysitis
RID29115    neuropathy
RID29116    tuberculosis
RID29118    Barton fracture
RID29120    chauffeur fracture
RID29121    chisel fracture
RID29122    Chopart fracture-dislocation
RID29124    Colles fracture
RID29125    deQuervain dislocation
RID29126    Desault dislocation
RID29128    Galeazzi fracture
RID29129    ulnar collateral ligament tear
RID29133    Jones fracture
RID29136    Maisonneuve fracture
RID29138    mallet finger
RID29139    march fracture
RID29140    Monteggia fracture
RID29142    Rolando fracture
RID29145    Shepherd fracture
RID29147    Smith fracture
RID29149    Tillaux fracture
RID2915     peroneus tertius
RID29150    toddler fracture
RID29151    tripod fracture
RID29154    vertebra
RID29155    cervical vertebra
RID29156    thoracic vertebra
RID29157    lumbar vertebra
RID29158    sacral vertebra
RID2917     peroneus brevis muscle
RID29173    round mass
RID29174    lobular mass
RID29179    spinous process of vertebra
RID2918     peroneus longus muscle
RID29188    first sacral vertebra
RID29192    fifth sacral vertebra
RID29193    first lumbar vertebra
RID29197    fifth lumbar vertebra
RID292      corpus luteum
RID2920     gastrocnemius muscle
RID29212    rim calcification
RID29213    coarse calcification
RID29214    amorphous calcification
RID29215    irregular mass
RID29223    oval mass
RID29226    Bennett fracture
RID2923     plantaris muscle
RID29234    lobe of liver
RID2924     soleus muscle
RID29244    tubercle
RID29251    omentum
RID29252    lesser omentum
RID2927     tibialis posterior muscle
RID2928     flexor hallucis longus muscle
RID29284    lumen of pyloric canal
RID2930     compartment of leg
RID2931     anterior compartment of leg
RID29378    irregular connective tissue
RID2945     hindfoot
RID2946     midfoot
RID2947     forefoot
RID2949     talus
RID29503    corpus luteum of right ovary
RID29504    corpus luteum of left ovary
RID29505    corpus luteum of menstruation
RID29506    corpus luteum of pregnancy
RID29522    peritoneal fluid
RID29537    retroperitoneal compartment
RID29559    cystohepatic triangle
RID2959     calcaneus
RID29603    muscle layer
RID2969     sustentaculum tali
RID2971     peroneal tubercle
RID2973     cuboid
RID2976     tarsal navicular
RID2978     medial cuneiform
RID29783    lower uterine segment
RID2983     lateral cuneiform
RID2986     metatarsal
RID29895    female breast
RID29898    male breast
RID29902    nipple
RID29911    areola
RID2992     toe
RID29955    accessory breast
RID29978    hemithorax
RID29993    upper quadrant of abdomen
RID29994    right upper quadrant of abdomen
RID29998    left lower quadrant of abdomen
RID30014    wall of abdomen
RID30019    female pelvis
RID30024    male perineum
RID30066    body wall
RID30076    anterior body wall
RID301      ovarian ligament
RID3016     posterior tibiotalar ligament
RID30176    intrahepatic biliary tree
RID3019     tibiospring ligament
RID302      uterus
RID3022     anterior talofibular ligament
RID3024     posterior talofibular ligament
RID3029     subtalar joint
RID30361    ingested food
RID30394    mesothelium
RID305      body of uterus
RID30518    mucosa-associated lymphoid tissue
RID3052     spring ligament
RID30520    gut-associated lymphoid tissue
RID30729    loose connective tissue
RID308      cervix of uterus
RID30874    peritoneal sac
RID30906    iliopsoas
RID30958    endometrium
RID31       definitely
RID31011    colon
RID311      endometrial cavity
RID31136    taenia coli
RID3119     Lisfranc ligament
RID3129     metatarsophalangeal joint
RID31386    set of paracardial lymphatic vessels
RID315      myometrium
RID31596    external oblique
RID31599    internal oblique
RID31602    transversus abdominis
RID31607    quadratus lumborum
RID31610    rectus abdominis
RID3167     abductor digiti minimi muscle
RID31702    penicillus
RID3173     flexor hallucis brevis muscle
RID31757    fissure for ligamentum teres
RID31786    macula densa
RID3184     Achilles tendon
RID3194     posterior tibial tendon
RID31967    paracardial left gastric lymph node group
RID32068    paracardial gastric lymph node
RID3217     retrocalcaneal bursa
RID3218     intermetatarsal bursa
RID3220     tarsal tunnel
RID32242    longus colli
RID32262    iliocostalis cervicis
RID32268    iliocostalis lumborum
RID3228     plantar fascia
RID3234     heart disease
RID3235     ischemic heart disease
RID3236     myocardial infarction
RID3238     hibernating heart
RID3240     stunned myocardium
RID3241     inducible ischemia
RID3242     microvascular ischemia
RID3243     cardiomyopathy
RID3244     dilated cardiomyopathy
RID3245     arrhythmogenic right ventricular cardiomyopathy
RID325      vagina
RID3250     ischemic cardiomyopathy
RID3251     hypertrophic cardiomyopathy
RID3252     hypertrophic obstructive cardiomyopathy
RID3254     hypertrophic nonobstructive cardiomyopathy
RID3255     restrictive cardiomyopathy
RID3256     endomyocardial fibrosis
RID3257     Loeffler endocarditis
RID32583    paracardial lymphatic vessel
RID3259     carcinoid heart disease
RID3260     valvular heart disease
RID3262     tricuspid valve disease
RID3264     flail leaflet
RID32652    mcBurney point
RID32667    tip of appendix
RID32668    base of appendix
RID3269     mitral valve prolapse
RID32691    anal canal
RID3271     pseudoxanthoma elasticum
RID3274     septal defect
RID3275     ostium secundum atrial septal defect
RID3277     ventricular septal defect
RID3279     post-myocardial infarction septal defect
RID3280     pericardial disease
RID3281     pericardial constriction
RID3282     cor pulmonale
RID3283     cardiac tamponade
RID3284     vascular disorder
RID3285     arteriosclerosis
RID3289     diffuse intimal thickening
RID3290     atherosclerotic plaque
RID3291     fibrous plaque
RID3295     Binswanger disease
RID32953    thoracic cavity
RID32954    abdominal cavity
RID3297     post-myocardial infarction syndrome
RID3299     pulmonary hypertension
RID32993    retropubic space
RID33       probably
RID3300     precapillary pulmonary hypertension
RID33005    space of cystohepatic triangle
RID33008    intercostal space
RID3301     postcapillary pulmonary hypertension
RID3302     peripheral vascular disease
RID3303     vascular entrapment syndrome
RID33035    perirenal fat
RID3304     thoracic outlet syndrome
RID33040    pararenal fat
RID3305     arcuate ligament syndrome
RID33066    transversalis fascia
RID3307     May-Thurner syndrome
RID3309     fibromuscular dysplasia
RID3310     thromboangiitis obliterans
RID3312     amyloid angiopathy
RID3313     renal hypertension
RID3315     renovascular hypertension
RID3316     veno-occlusive disease
RID33166    vesicovaginal septum
RID33168    rectovesical septum
RID3317     dissection
RID33180    mesentery
RID33187    splenorenal ligament
RID3319     arterial dissection
RID33197    pulmonary ligament
RID3320     aortic dissection
RID3321     aneurysm
RID3322     saccular aneurysm
RID3323     berry aneurysm
RID3326     ruptured aneurysm
RID3327     lymphangiectasia
RID3328     mycotic aneurysm
RID3329     fusiform aneurysm
RID3330     intimal flap
RID3331     pseudoaneurysm
RID3332     vascular malformation
RID3333     high-flow vascular malformation
RID3334     arteriovenous malformation
RID3336     low-flow vascular malformation
RID3337     venous malformation
RID33371    adventitia of subdivision of minor calyx
RID3341     lymphatic malformation
RID3344     lymphatic-venous malformation
RID33457    accessory spleen
RID3346     capillary malformation
RID33467    mesovarium
RID3348     telangiectasia
RID33480    greater sac
RID33484    lesser sac
RID33499    cecal fold
RID3356     Type III vascular malformation of spinal cord
RID3360     CADASIL
RID3362     retrolental fibroplasia
RID3365     Terson syndrome
RID33652    biliary tree
RID3366     varix
RID3370     angiodysplasia
RID3372     ovarian vein varix
RID3374     peliosis
RID3375     collateral
RID3376     ischemia
RID3377     transient ischemic attack
RID3379     vasoconstriction
RID3380     vasospasm
RID33816    segment of superior frontal gyrus
RID3382     Inflammatory
RID3383     appendicitis
RID3384     cholangitis
RID3386     primary sclerosing cholangitis
RID3387     obstructive cholangitis
RID3388     ascending cholangitis
RID3389     recurrent pyogenic cholangitis
RID3393     eosinophilic cholangitis
RID3394     cholecystitis
RID3395     acalculous cholecystitis
RID3396     emphysematous cholecystitis
RID3397     gangrenous cholecystitis
RID3398     cholesterol granuloma
RID3399     choroid plexitis
RID34       possibly
RID3400     croup
RID3403     cyclitis
RID3405     cystitis
RID3406     dacryoadenitis
RID3407     diskitis
RID3409     diverticulitis
RID3410     duodenitis
RID3411     encephalitis
RID3413     rhombencephalitis
RID3414     encephalomyelitis
RID3415     acute disseminated encephalomyelitis
RID3417     endometritis
RID3418     enteritis
RID3419     backwash ileitis
RID34204    frontal pole (fP)
RID3421     colitis
RID34218    planum polare (pp)
RID3422     neutropenic enterocolitis
RID34237    hyaline cartilage
RID3424     clostridium difficile colitis
RID34240    high density
RID34243    low density
RID34246    dystrophic calcification
RID34249    milk of calcium calcification
RID34251    round calcification
RID34253    vascular calcification
RID34257    fine pleomorphic calcification
RID3426     diversion colitis
RID34260    regional
RID34261    architectural distortion
RID34264    focal asymmetry
RID34265    asymmetry
RID34266    global asymmetry
RID34267    skin lesion
RID34269    nipple retraction
RID3427     colitis cystica profunda
RID34270    skin thickening
RID34271    trabecular thickening
RID34272    axillary adenopathy
RID34273    predominantly fatty
RID34274    scattered fibroglandular densities
RID34275    heterogeneously dense
RID34276    extremely dense
RID34279    circumscribed
RID3428     microscopic colitis
RID34280    microlobulated
RID34282    obscured
RID34283    indistinct
RID34284    spiculated
RID34285    coarse
RID34286    dystrophic
RID34287    eggshell
RID34289    lucent-centered
RID34290    skin
RID34291    polygonal
RID34292    fine linear
RID34293    coarse heterogeneous
RID34294    fine pleomorphic
RID34295    secretory
RID34299    marked
RID343      prostate
RID34300    enhancement
RID34301    focus
RID34302    foci
RID34303    rim enhancement
RID34305    heterogeneous mass enhancement
RID34306    dark internal septations
RID34308    central enhancement
RID34309    stippled enhancement
RID3431     ischemic colitis
RID34310    clumped enhancement
RID34311    reticular enhancement
RID34312    symmetric enhancement
RID34313    asymmetric enhancement
RID34316    focal skin thickening
RID34317    diffuse skin thickening
RID3432     stercoral colitis
RID34320    chest wall invasion
RID34322    hematoma/blood signal
RID34323    clip artifact
RID34324    susceptibility artifact
RID34328    slow
RID34329    rapid
RID3433     drug-induced colitis
RID34330    persistent
RID34331    persistent delayed phase
RID34332    plateau delayed phase
RID34334    plateau
RID34335    focal enhancement
RID34336    linear enhancement
RID34337    ductal enhancement
RID34338    segmental enhancement
RID34339    regional enhancement
RID3434     caustic colitis
RID34341    diffuse enhancement
RID34342    non-mass enhancement
RID34343    symmetry
RID34346    echotexture
RID3435     glutaraldehyde colitis
RID34351    gently lobulated
RID34352    parallel lesion
RID34356    angular
RID34357    lesion boundary
RID34358    abrupt interface
RID34359    echogenic halo
RID3436     necrotizing enterocolitis
RID34360    anechoic
RID34363    no posterior acoustic features
RID34364    posterior acoustic enhancement
RID34367    microcalcifications out of mass
RID34368    microcalcifications in mass
RID34369    macrocalcifications
RID3437     epicondylitis
RID34371    clustered microcysts
RID34372    complicated cyst
RID3438     epiglottitis
RID34382    duct changes
RID34383    skin retraction
RID34384    duct ectasia
RID34385    ductal wall thickening
RID34388    microcalcifications
RID34389    hypervascular lesion
RID34390    Rigler sign
RID34393    hydronephrosis
RID34394    obstructive uropathy
RID34395    chronic obstructive uropathy
RID34399    bowler hat sign
RID3440     esophagitis
RID34402    C sign
RID34403    intravenous pyelography
RID34405    cobblestone pattern
RID34406    coffee bean sign
RID34407    comet tail sign
RID34409    swan neck deformity
RID3441     reflux esophagitis
RID34410    inverted Napoleon hat sign
RID34411    absent bow tie sign
RID34412    Erlenmeyer flask deformity
RID34413    Metabolic Disease
RID34414    lysosomal storage disease
RID34415    Gaucher disease
RID34418    thalassemia
RID3442     infectious esophagitis
RID34423    upper GI series
RID34424    retrograde ureteropyelography
RID34425    retrograde pyelography
RID34426    barium enema
RID34428    scintigraphy
RID3443     radiation-induced esophagitis
RID34430    cholecystography
RID34431    bronchography
RID34432    small bowel series
RID34433    voiding urethrography
RID34434    arteriography
RID34436    long bone
RID34437    pelvic brim
RID3444     eosinophilic esophagitis
RID34445    cerebral vein
RID34449    frontal vein
RID3445     esophageal intramural pseudodiverticulosis
RID34451    venous plexus
RID3446     fasciitis
RID34469    right portal vein
RID3447     necrotizing fasciitis
RID34470    left portal vein
RID34474    dural venous sinus
RID3448     necrotizing fasciitis of perineum and genitals
RID34480    parietal foramen
RID34492    pediatric
RID34493    pregnant
RID34494    neonatal
RID3450     gastritis
RID3451     helicobacter pylori gastritis
RID3453     erosive gastritis
RID34530    interphalangeal joint
RID34534    diploe
RID34539    pleural effusion
RID3454     caustic gastritis
RID34540    asbestos-related disease
RID34542    compact bone
RID34548    fourth metacarpal bone
RID3455     antral gastritis
RID34550    eye
RID34557    placenta
RID34558    umbilical cord
RID34559    chorion
RID3456     hypertrophic gastritis
RID34560    amnion
RID34561    urachus
RID34566    pulmonary hilum
RID34568    hilum of spleen
RID34571    cervical vertebral column
RID34574    contraceptive device
RID34575    intrauterine device
RID3458     atrophic gastritis
RID34582    achalasia
RID34584    congenital diaphragmatic hernia
RID34585    splenic hemorrhage
RID34586    splenic rupture
RID34587    enlarged spleen
RID34588    urethral stenosis
RID34589    coarctation of aorta
RID3459     emphysematous gastritis
RID34590    aortic stenosis
RID34591    aspergillosis
RID34592    scleroderma
RID34593    enlarged liver
RID34594    anterior cruciate ligament tear
RID34595    hemothorax
RID34596    cholangiohepatitis
RID34597    ureteropelvic junction obstruction
RID34599    neurofibromatosis
RID3460     eosinophilic gastritis
RID34600    Schwannomatosis
RID34601    neurofibromatosis type 1
RID34602    neurofibromatosis type 2
RID34603    craniosynostosis
RID34604    sigmoid volvulus
RID34605    avascular necrosis
RID34607    microlithiasis
RID34608    pulmonary alveolar microlithiasis
RID3461     gastroenteritis
RID34610    hyperparathyroidism
RID34611    tetralogy of Fallot
RID34612    Ebstein anomaly
RID34613    Klebsiella pneumonia
RID34614    portal hypertension
RID34615    Neoplastic Disease
RID34617    melanoma
RID34618    Morquio syndrome
RID34619    mucopolysaccharidosis
RID3462     eosinophilic gastroenteritis
RID34620    achondroplasia
RID34621    Hurler syndrome
RID34623    gastric cancer
RID34624    thrombosis
RID34625    deep vein thrombosis
RID34626    gonadal dysgenesis
RID34627    rubella
RID34628    maternal rubella
RID34631    congenital cardiovascular malformation
RID34633    cerebral palsy
RID34634    Charcot-Marie-Tooth disease
RID34636    polycystic kidney disease
RID34637    bronchitis
RID34638    cystic fibrosis
RID34639    molar pregnancy
RID34640    ureterocele
RID34641    cellulitis
RID34642    calcifications breast
RID34643    hydromyelia
RID34644    diaphragmatic rupture
RID34645    renal agenesis
RID34646    phlebolith
RID34647    intraosseous hemangioma
RID34648    deficiency disorder
RID34649    scurvy
RID3465     Guillain-Barre syndrome
RID34650    pulmonary alveolar proteinosis
RID34651    gastric ulcer
RID34652    impingement
RID34653    femoroacetabular impingement
RID34656    ovarian cyst
RID34657    lead poisoning
RID34658    death
RID34659    hemoperitoneum
RID34660    melorheostosis
RID34661    transposition of great vessels
RID34662    sarcoidosis
RID34665    gynecomastia
RID34666    dermatomyositis
RID34668    allergic bronchopulmonary aspergillosis
RID3467     hepatitis
RID34673    transitional cell carcinoma of ureter
RID34674    cystic disease
RID34675    medullary sponge kidney
RID34676    sickle cell anemia
RID34678    hemolytic anemia
RID34679    skeletal dysplasia
RID3468     steatohepatitis
RID34680    diastrophic dysplasia
RID34681    brain death
RID34682    hypothermia
RID34683    hepatic encephalopathy
RID34684    cystic adventitial disease
RID34685    ascariasis
RID34686    bacterial infection
RID34687    viral infection
RID34688    epiploic appendagitis
RID34689    hypotension
RID3469     nonalcoholic steatohepatitis
RID34690    transitory synovitis
RID34691    psoriasis
RID34692    humeral avulsion of inferior glenohumeral ligament
RID34693    esophageal web
RID34694    lobe of lung
RID34695    upper lobe of lung
RID34696    lower lobe of lung
RID34697    posterior urethral valve
RID34699    tuberculous arthritis
RID34700    chiari malformation type I
RID34701    chiari malformation type II
RID34702    chiari malformation type III
RID34703    chiari malformation type IV
RID34704    hypoplastic left heart syndrome
RID34705    duplication
RID34706    persistent left superior vena cava
RID34707    congenital anomaly of spine
RID34708    spina bifida
RID34709    polyostotic fibrous dysplasia
RID3471     neonatal hepatitis
RID34710    breast implant
RID34712    liver disorder
RID34713    congenital hepatic fibrosis
RID34714    ectopic kidney
RID34715    arthritis mutilans
RID34716    rickets
RID34717    developmental disorder
RID34718    mental retardation
RID3472     hypophysitis
RID34720    gonadal dysgenesis syndrome
RID34721    cerebellar disorder
RID34726    tension pneumocephalus
RID3473     lymphocytic hypophysitis
RID34730    AIDS
RID34731    appendiceal mucocele
RID34732    congenital anomaly of brain
RID34733    holoprosencephaly sequence
RID34734    alobar holoprosencephaly
RID34735    lobar holoprosencephaly
RID34738    hyperbilirubinemia
RID34739    conjugated hyperbilirubinemia
RID3474     inflammatory bowel disease
RID34742    hydropneumoperitoneum
RID34744    synthetic graft
